,BuildingType,PrimaryPropertyType,YearBuilt,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,Neighborhood,NumberofBuildings,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance,Autre,Bureau,Commercial,Hotel / Restaurant,Industrial,Loisirs,Public,Residential,Santé,Scolaire,Service,industrial
1903,NonResidential,Industrial,1927,1,21600,Industrial,GREATER DUWAMISH,1.0,57.0,499828.5938,14.36,2.7778094141919083,0,0,0,0,1,0,0,0,0,0,0,0
1907,NonResidential,Autre,1977,1,35844,Autre,SOUTHWEST,1.0,14.0,866126.375,6.04,10.470220646806782,1,0,0,0,0,0,0,0,0,0,0,0
1908,NonResidential,Bureau,1916,3,31774,Bureau,LAKE UNION,1.0,85.0,1639136.25,18.87,6.563038258343831,0,1,0,0,0,0,0,0,0,0,0,0
1922,NonResidential,Industrial,1953,1,26094,Industrial,GREATER DUWAMISH,1.0,19.0,709990.8125,4.95,4.689838193427965,0,0,0,0,1,0,0,0,0,0,0,0
1923,NonResidential,Bureau,1983,2,23687,Bureau,GREATER DUWAMISH,1.0,68.0,1084553.75,7.56,4.689838193427965,0,1,0,0,0,0,0,0,0,0,0,0
1924,NonResidential,Bureau,1983,2,24221,Bureau,GREATER DUWAMISH,1.0,20.0,1435562.75,10.01,4.689838193427965,0,1,0,0,0,0,0,0,0,0,0,0
1925,NonResidential,Autre,1900,2,71919,Bureau,DOWNTOWN,1.0,37.0,5381105.0,37.51,0.859553281452322,0,1,0,0,0,0,0,0,0,0,0,0
1926,NonResidential,Bureau,1900,2,32027,Bureau,DOWNTOWN,1.0,54.0,3999505.25,128.41,0.859553281452322,0,1,0,0,0,0,0,0,0,0,0,0
1927,NonResidential,Bureau,1906,3,32160,Bureau,DOWNTOWN,1.0,,2805826.0,19.56,1.1186238154117571,0,1,0,0,0,0,0,0,0,0,0,0
1928,NonResidential,Autre,1992,3,47836,Residential,GREATER DUWAMISH,1.0,,3540225.75,109.59,2.111149729695087,0,0,0,0,0,0,0,1,0,0,0,0
1929,NonResidential,Bureau,1914,3,34425,Bureau,GREATER DUWAMISH,1.0,84.0,2018385.75,50.07,2.79378968443789,0,1,0,0,0,0,0,0,0,0,0,0
1931,SPS-District K-12,Scolaire,1971,2,52609,Scolaire,GREATER DUWAMISH,1.0,67.0,1801941.75,46.51,6.959504096863398,0,0,0,0,0,0,0,0,0,1,0,0
1934,NonResidential,Santé,1984,3,40304,Santé,SOUTHWEST,1.0,5.0,1961581.5,13.67,4.207337906568422,0,0,0,0,0,0,0,0,1,0,0,0
1939,NonResidential,Industrial,1990,1,29619,Industrial,GREATER DUWAMISH,1.0,50.0,1280263.75,42.45,8.38906877112236,0,0,0,0,1,0,0,0,0,0,0,0
1941,NonResidential,Scolaire,1922,2,21592,Scolaire,CENTRAL,1.0,47.0,1431784.0,54.24,3.474466029792255,0,0,0,0,0,0,0,0,0,1,0,0
1943,NonResidential,Scolaire,1931,2,23923,Scolaire,NORTH,1.0,69.0,805643.5,19.51,10.079088972352102,0,0,0,0,0,0,0,0,0,1,0,0
1944,NonResidential,Bureau,1907,3,25200,Bureau,CENTRAL,1.0,47.0,1748444.25,37.08,2.8034673425774184,0,1,0,0,0,0,0,0,0,0,0,0
1945,NonResidential,Bureau,1947,1,45068,Bureau,CENTRAL,1.0,100.0,284857.3125,8.59,2.8860649959902824,0,1,0,0,0,0,0,0,0,0,0,0
1946,NonResidential,Bureau,1963,2,28296,Bureau,CENTRAL,1.0,80.0,1328461.25,9.26,3.088061674648412,0,1,0,0,0,0,0,0,0,0,0,0
1949,NonResidential,Bureau,1999,3,31357,Bureau,CENTRAL,1.0,55.0,1965075.625,22.48,3.8591492153869034,0,1,0,0,0,0,0,0,0,0,0,0
1950,NonResidential,Industrial,1968,1,160000,Industrial,GREATER DUWAMISH,1.0,94.0,1157976.5,8.07,4.925663869760283,0,0,0,0,1,0,0,0,0,0,0,0
1951,NonResidential,Industrial,1960,1,53550,Industrial,GREATER DUWAMISH,1.0,11.0,4590246.5,174.62,5.293833467355849,0,0,0,0,1,0,0,0,0,0,0,0
1952,NonResidential,Industrial,1924,1,38412,Industrial,GREATER DUWAMISH,1.0,62.0,1628540.0,67.05,5.150308233293824,0,0,0,0,1,0,0,0,0,0,0,0
1953,NonResidential,Industrial,1930,1,25881,Service,GREATER DUWAMISH,1.0,,545426.375,3.8,5.211539964598446,0,0,0,0,0,0,0,0,0,0,1,0
1960,NonResidential,Bureau,1953,1,24291,Bureau,GREATER DUWAMISH,1.0,98.0,655422.375,19.61,5.646995219436331,0,1,0,0,0,0,0,0,0,0,0,0
1961,NonResidential,Industrial,1966,1,36544,Industrial,GREATER DUWAMISH,1.0,5.0,1269847.75,8.85,5.652075384779504,0,0,0,0,1,0,0,0,0,0,0,0
1963,NonResidential,Industrial,1949,1,20796,Industrial,GREATER DUWAMISH,1.0,,1324092.125,51.1,3.0934912432717163,0,0,0,0,1,0,0,0,0,0,0,0
1964,NonResidential,Industrial,1947,1,21349,Industrial,GREATER DUWAMISH,1.0,70.0,659761.875,17.04,3.216504580633444,0,0,0,0,1,0,0,0,0,0,0,0
1965,NonResidential,Industrial,1936,1,38630,Industrial,GREATER DUWAMISH,1.0,33.0,416885.5938,2.91,3.3619531259872266,0,0,0,0,1,0,0,0,0,0,0,0
1966,NonResidential,Industrial,1950,1,20724,Industrial,GREATER DUWAMISH,1.0,,1832031.5,83.3,3.3752151077719312,0,0,0,0,1,0,0,0,0,0,0,0
